student_id,name,grade_level,baseline_ability,learning_rate,consistency
1,Uwamahoro Mukantwari,S3,0.7957962893885334,0.029361118426546193,0.6545980821176709
2,Iradukunda Iradukunda,S2,0.7579549828791108,0.0699465584480253,0.6743186887373966
3,Mukantwari Uwamahoro,S2,0.7669910050499071,0.04591670111852694,0.7019301990693146
4,Niyonzima Mugisha,S2,0.5709579665930622,0.04736419905302215,0.8748115864875547
5,Iradukunda Niyonzima,S2,0.9195826665266797,0.056452691114086295,0.6596834432905521
6,Mukantwari Mukantwari,S3,0.7256660469967509,0.02732229409068673,0.7733119185389445
7,Nkurunziza Habimana,S1,0.925811606062598,0.05280261676059678,0.6646990594339345
8,Iradukunda Habimana,S1,0.7726722237419349,0.022713637334632285,0.7138656157671425
9,Iradukunda Niyonzima,S2,0.7046706660451401,0.03685607058124285,0.789943629105387
10,Uwamahoro Habimana,S2,0.8161061102831512,0.06633468615779944,0.6695504885369603
11,Mukantwari Uwamahoro,S3,0.6955255418595557,0.041507943712656356,0.6405541708337954
12,Uwera Nsabimana,S1,0.6236861195095137,0.03865893930293973,0.7138141627093615
13,Mugisha Niyonzima,S3,0.618516567941663,0.0271756547562981,0.8496356755280482
14,Nkurunziza Iradukunda,S3,0.5471538346695769,0.05136396976291964,0.7496393564254924
15,Niyonzima Iradukunda,S3,0.7876278197268776,0.07445398843556558,0.6872522802021062
16,Iradukunda Iradukunda,S1,0.8886340536620674,0.03738508717482608,0.6564274505389015
17,Mugisha Uwamahoro,S1,0.7652306850575336,0.07355353990939867,0.7887697846704778
18,Nkurunziza Niyonzima,S2,0.7212828312656074,0.06908088595534959,0.9012557041397202
19,Mukantwari Habimana,S2,0.7719635597903226,0.02719192204002097,0.7181653099912697
20,Nsabimana Nsabimana,S2,0.6584309311037017,0.04181777614275764,0.9401237289523362
21,Nkurunziza Nsabimana,S2,0.49924661902968537,0.056573860038793805,0.7759376581301015
22,Habimana Iradukunda,S2,0.6713494572212239,0.07913902724663605,0.6847193450290251
23,Uwamahoro Uwamahoro,S1,0.7280095396756684,0.042066987963155195,0.8213070407077527
24,Mugisha Niyonzima,S2,0.4862336937713573,0.03924680389830415,0.6652814786399489
25,Mugisha Nsabimana,S3,0.8165540943335746,0.05072558349795686,0.6792735213192782
26,Mutoni Niyonzima,S1,0.5365465567928493,0.07620379932420407,0.6481323304510976
27,Iradukunda Uwamahoro,S3,0.7116978489082427,0.035476497662909334,0.8309944161119627
28,Mukantwari Nsabimana,S3,0.5648069710879039,0.025586166068353955,0.9140255152836643
29,Uwamahoro Mugisha,S1,0.6447284351945167,0.06355734073221436,0.913988590983402
30,Uwamahoro Niyonzima,S2,0.7081393213757026,0.029697722845676826,0.9144939659844777
31,Mutoni Uwamahoro,S1,0.8549501657414503,0.05292402736199517,0.8421633191924426
32,Nsabimana Mutoni,S2,0.48761920482672777,0.03952398188955607,0.8612719917913084
33,Uwera Uwera,S3,0.7579669876344522,0.025620486069685547,0.7287005310708017
34,Uwamahoro Mutoni,S3,0.7852140200407117,0.07352279331062679,0.820898519099042
35,Iradukunda Mugisha,S1,0.5198931175616088,0.03171457926788267,0.8528582403415268
36,Mukantwari Uwamahoro,S2,0.5338395953442137,0.07489186341322691,0.7295555450894056
37,Iradukunda Iradukunda,S2,0.7854993601217873,0.03766693352417514,0.7347842050106739
38,Mutoni Uwera,S2,0.5538279017718284,0.07616928644964685,0.8436104288362405
39,Iradukunda Mugisha,S1,0.6160869699678154,0.028405040914191444,0.7814153783273078
40,Nkurunziza Iradukunda,S1,0.6867908341172416,0.04156946907318531,0.7027571454925726
41,Mukantwari Uwera,S1,0.707925673143736,0.05068054393165627,0.7755307031405199
42,Mutoni Mukantwari,S2,0.6251647090404296,0.07340032050905397,0.7182983048980375
43,Mugisha Niyonzima,S1,0.6980361366250384,0.04793588108794761,0.7899256221476518
44,Nsabimana Nkurunziza,S3,0.9501311117124117,0.0693560336395795,0.726066724493942
45,Mukantwari Mukantwari,S1,0.8846837222669921,0.057373428549140015,0.6298716127478188
46,Nsabimana Nkurunziza,S2,0.8324769034401854,0.0635654800233597,0.9415482278118871
47,Iradukunda Uwamahoro,S3,0.44140567227680994,0.04633828524233817,0.6274597334697931
48,Nkurunziza Uwamahoro,S3,0.6568944003095407,0.029386222560265164,0.6875850143576083
49,Mukantwari Uwera,S3,0.8106153604810161,0.07729191683979164,0.858263920843519
50,Mugisha Niyonzima,S3,0.7632259178223745,0.0413583607190757,0.8652461386625292
